"fast_time_64_2"	"naive_time_64_2"	"fast_band_64_2"	"naive_band_64_2"	"fast_time_128_2"	"naive_time_128_2"	"fast_band_128_2"	"naive_band_128_2"	"fast_time_256_2"	"naive_time_256_2"	"fast_band_256_2"	"naive_band_256_2"	"fast_time_512_2"	"naive_time_512_2"	"fast_band_512_2"	"naive_band_512_2"	"fast_time_1024_2"	"naive_time_1024_2"	"fast_band_1024_2"	"naive_band_1024_2"
"1"	9.973536	66.474335	107.659096	16.152728	30.420321	66.466339	35.29686	16.154671	28.132511	66.45533	38.167296	16.157347	26.30928	66.414978	40.812284	16.167164	26.163937	66.526276	41.039	16.140116
"2"	9.387264	66.466751	114.382824	16.154571	8.827104	66.586655	121.641464	16.125481	8.837248	66.451263	121.501832	16.158336	8.812736	66.217827	121.839784	16.215298	9.421248	66.2192	113.970224	16.214962
"3"	9.403744	66.204094	114.182376	16.218662	8.77168	66.167168	122.410056	16.227713	8.775744	66.397308	122.35336	16.171466	8.782592	66.14016	122.257968	16.23434	9.43376	66.090271	113.81908	16.246594
"4"	9.414944	66.246269	114.046544	16.208337	8.71952	66.347588	123.142312	16.183585	8.81632	66.468163	121.790248	16.154228	8.771616	66.503006	122.410944	16.145764	9.44064	66.412956	113.73612	16.167656
"5"	9.40176	66.364639	114.206472	16.179427	8.770848	66.498016	122.421664	16.146975	8.859712	66.452034	121.193768	16.158148	8.794304	66.506493	122.095144	16.144917	9.450912	66.538979	113.612504	16.137035
"6"	9.403168	66.51757	114.189376	16.142229	8.779008	66.343521	122.30788	16.184577	8.801568	66.315292	121.994376	16.191466	8.794912	66.386879	122.086696	16.174007	9.437024	66.142174	113.779704	16.233845
"7"	9.41168	66.150307	114.086096	16.23185	8.749888	66.405411	122.71492	16.169493	8.723232	66.162399	123.089904	16.228883	8.835776	66.476669	121.522072	16.15216	9.442176	66.261276	113.717624	16.204666
"8"	9.395456	66.181122	114.283096	16.224292	8.815264	66.415199	121.80484	16.16711	8.809408	66.18502	121.885808	16.223336	8.821216	66.425568	121.722656	16.164586	9.399872	66.161888	114.229408	16.229008
"9"	9.37808	66.507774	114.49484	16.144606	8.758464	66.250946	122.594768	16.207192	8.830336	66.455231	121.596944	16.157371	8.825536	66.454109	121.663072	16.157644	9.42736	66.172829	113.896344	16.226325
"10"	9.37184	66.095299	114.571088	16.245359	8.765024	66.518082	122.503008	16.142104	8.751232	66.294434	122.696072	16.196561	8.753504	66.104958	122.664232	16.242985	9.469568	66.667198	113.38868	16.105999
